FailureID,Loco,FailureDate,FailureTimestamp,TimestampPrecision,Label,Confidence,Window,HorizonHours,WindowStart,WindowEnd,Purpose
4679812,30365,31/12/2024,2024-12-31 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,7d,168,2024-12-24 00:00:00,2024-12-31 00:00:00,Long-term degradation
4679812,30365,31/12/2024,2024-12-31 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,3d,72,2024-12-28 00:00:00,2024-12-31 00:00:00,Medium-term degradation
4679812,30365,31/12/2024,2024-12-31 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,24h,24,2024-12-30 00:00:00,2024-12-31 00:00:00,Short-term warning
4679812,30365,31/12/2024,2024-12-31 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,12h,12,2024-12-30 12:00:00,2024-12-31 00:00:00,Operational alert horizon
4679812,30365,31/12/2024,2024-12-31 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,6h,6,2024-12-30 18:00:00,2024-12-31 00:00:00,Immediate warning
4679812,30365,31/12/2024,2024-12-31 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,1h,1,2024-12-30 23:00:00,2024-12-31 00:00:00,Near-failure behaviour
4664942,43276,24/12/2024,2024-12-24 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,7d,168,2024-12-17 00:00:00,2024-12-24 00:00:00,Long-term degradation
4664942,43276,24/12/2024,2024-12-24 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,3d,72,2024-12-21 00:00:00,2024-12-24 00:00:00,Medium-term degradation
4664942,43276,24/12/2024,2024-12-24 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,24h,24,2024-12-23 00:00:00,2024-12-24 00:00:00,Short-term warning
4664942,43276,24/12/2024,2024-12-24 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,12h,12,2024-12-23 12:00:00,2024-12-24 00:00:00,Operational alert horizon
4664942,43276,24/12/2024,2024-12-24 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,6h,6,2024-12-23 18:00:00,2024-12-24 00:00:00,Immediate warning
4664942,43276,24/12/2024,2024-12-24 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_2,HIGH,1h,1,2024-12-23 23:00:00,2024-12-24 00:00:00,Near-failure behaviour
4650283,37619,17/12/2024,2024-12-17 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_1,HIGH,7d,168,2024-12-10 00:00:00,2024-12-17 00:00:00,Long-term degradation
4650283,37619,17/12/2024,2024-12-17 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_1,HIGH,3d,72,2024-12-14 00:00:00,2024-12-17 00:00:00,Medium-term degradation
4650283,37619,17/12/2024,2024-12-17 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_1,HIGH,24h,24,2024-12-16 00:00:00,2024-12-17 00:00:00,Short-term warning
4650283,37619,17/12/2024,2024-12-17 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_1,HIGH,12h,12,2024-12-16 12:00:00,2024-12-17 00:00:00,Operational alert horizon
4650283,37619,17/12/2024,2024-12-17 00:00:00,DATE_ONLY_ASSUMED_MIDNIGHT,LEVEL_1,HIGH,6h,6,2024-12-16 18:00:00,2024-12-17 00:00:00,Immediate warning
